SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,
1585009,Thương hiệu,NEST New York,Kích thước,1.7 oz/ 50 mL,,
1593144,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL eau de toilette spray,,
1601301,Thương hiệu,Dolce&Gabbana,Kích thước,2.5 oz / 75 mL eau de parfum spray,,
1602259,Thương hiệu,Maison Margiela,Kích thước,3.4 oz / 100 ml eau de toilette spray,,
1605385,Thương hiệu,Versace,Kích thước,3 oz/ 90 mL,,
1632777,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
1688852,Thương hiệu,Yves Saint Laurent,Kích thước,3 oz/ 90 mL,,
1696921,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,
1698299,Thương hiệu,Yves Saint Laurent,Kích thước,0.33 oz/ 10 mL eau de parfum spray,,
1703321,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz/ 100 mL,,
1712918,Thương hiệu,Versace,Kích thước,0.34 oz/ 10 mL,,
1731918,Thương hiệu,Gucci,Kích thước,1 oz,,
1788058,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,
1808088,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
1837624,Thương hiệu,CHANEL,Kích thước,1.7 oz/ 50 mL,,
1838010,Thương hiệu,BURBERRY,Kích thước,3 oz/ 89 mL,,
1838861,Thương hiệu,Yves Saint Laurent,Kích thước,1.6 oz/ 47 mL,,
1856491,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz/ 100 mL Eau de Parfum Spray,,
1873397,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,
1873405,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,
1912591,Thương hiệu,DIOR,Kích thước,3.4 oz/ 100 mL,,
1915487,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,
1915537,Thương hiệu,GUERLAIN,Kích thước,3.3 oz/ 100 mL,,
1928548,Thương hiệu,Yves Saint Laurent,Kích thước,0.34 oz/ 10 mL,,
1930759,Thương hiệu,Sol de Janeiro,Kích thước,8.1 oz/ 240 mL,,
1942812,Thương hiệu,Dolce&Gabbana,Kích thước,3.3 oz/ 100 mL,,
1964840,Thương hiệu,Gucci,Kích thước,1.6 oz/ 50 mL,,
1976075,Thương hiệu,BURBERRY,Kích thước,3.0 oz/ 90 mL eau de parfum spray,,
1976554,Thương hiệu,HERMÈS,Kích thước,2.8 oz/ 83 mL,,
1985779,Thương hiệu,CLEAN RESERVE,Kích thước,0.34 oz/ 10 mL,,
1985779,Thương hiệu,CLEAN RESERVE,Kích thước,0.34 oz/ 10 mL,,
1992627,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,
