SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,,Hiện thuộc tính,Thuộc tính mặc định
2644417,Thương hiệu,Gucci,Kích thước,0.33 oz / 10 ml eau de parfum spray,,,có,
2644417,Thương hiệu,Gucci,Kích thước,0.33 oz / 10 ml eau de parfum spray,,,có,
2644458,Thương hiệu,Gucci,Kích thước,0.33 oz / 10 ml eau de parfum spray,,,có,
2644474,Thương hiệu,Gucci,Kích thước,0.33 oz / 10 mL,,,có,
2644474,Thương hiệu,Gucci,Kích thước,0.33 oz / 10 mL,,,có,
2644482,Thương hiệu,Gucci,Kích thước,0.33 oz,,,có,
2644532,Thương hiệu,DIOR,Kích thước,3.4 oz / 100 mL eau de toilette spray,,,có,
2647782,Thương hiệu,PHLUR,Kích thước,1.7 oz / 50 mL,,,có,
2648632,Thương hiệu,By Rosie Jane,Kích thước,1.7 oz eau de parfum spray,,,có,
2648665,Thương hiệu,Maison Louis Marie,Kích thước,1.7 oz / 50 mL eau de parfum spray,,,có,
2648681,Thương hiệu,Maison Louis Marie,Kích thước,0.50 oz / 15 mL perfume oil,,,có,
2648699,Thương hiệu,Maison Louis Marie,Kích thước,0.1 oz / 3 mL perfume oil,,,có,
2652071,Thương hiệu,Sol de Janeiro,Kích thước,8.1 oz / 240 mL,,,có,
2653327,Thương hiệu,Carolina Herrera,Kích thước,0.34 oz / 10 mL eau de parfum spray,,,có,
2653327,Thương hiệu,Carolina Herrera,Kích thước,0.34 oz / 10 mL eau de parfum spray,,,có,
2657567,Thương hiệu,Versace,Kích thước,3.4 oz / 100 mL eau de parfum spray,,,có,
2659357,Thương hiệu,Nette,Kích thước,.33 / 10 mL eau de parfum spray,,,có,
2660041,Thương hiệu,Floral Street,Kích thước,0.33 oz / 10 mL eau de parfum spray,,,có,
2672095,Thương hiệu,Jo Malone London,Kích thước,1.7 oz / 50 ml cologne spray,,,có,
2672152,Thương hiệu,Jo Malone London,Kích thước,3.4 oz / 100 ml cologne spray,,,có,
2674463,Thương hiệu,5 SENS,Kích thước,1 oz / 30 mL eau de parfum spray,,,có,
2674919,Thương hiệu,Dolce&Gabbana,Kích thước,1 oz eau de toilette Spray,,,có,
2674943,Thương hiệu,Dolce&Gabbana,Kích thước,3.4 oz / 100 mL eau de toilette spray,,,có,
2675841,Thương hiệu,Mugler,Kích thước,3.4 oz / 100 mL eau de parfum spray,,,có,
2676443,Thương hiệu,DedCool,Kích thước,0.5 oz / 15 ml eau de parfum spray,,,có,
