SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,,Hiện thuộc tính,Thuộc tính mặc định,RegularPrice,price
1593144,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL eau de toilette spray,,,có,,"16,5","420007,5"
1601301,Thương hiệu,Dolce&Gabbana,Kích thước,2.5 oz / 75 mL eau de parfum spray,,,có,,14,356370
1602259,Thương hiệu,Maison Margiela,Kích thước,3.4 oz / 100 ml eau de toilette spray,,,có,,"16,5","420007,5"
1605385,Thương hiệu,Versace,Kích thước,3 oz/ 90 mL,,,có,,13,330915
1632777,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,16,407280
1688852,Thương hiệu,Yves Saint Laurent,Kích thước,3 oz/ 90 mL,,,có,,16,407280
1696921,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,,có,,13,330915
1698299,Thương hiệu,Yves Saint Laurent,Kích thước,0.33 oz/ 10 mL eau de parfum spray,,,có,,"3,5","89092,5"
1703321,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz/ 100 mL,,,có,,15,381825
1712918,Thương hiệu,Versace,Kích thước,0.34 oz/ 10 mL,,,có,,"3,3","84001,5"
1731918,Thương hiệu,Gucci,Kích thước,1 oz,,,có,,"9,3","236731,5"
1788058,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,,"16,5","420007,5"
1808088,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,30,763650
1837624,Thương hiệu,CHANEL,Kích thước,1.7 oz/ 50 mL,,,có,,"13,8",351279
1838010,Thương hiệu,BURBERRY,Kích thước,3 oz/ 89 mL,,,có,,18,458190
1838861,Thương hiệu,Yves Saint Laurent,Kích thước,1.6 oz/ 47 mL,,,có,,12,305460
1856491,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz/ 100 mL Eau de Parfum Spray,,,có,,15,381825
1873397,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,,"5,5","140002,5"
1873405,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,,11,280005
1912591,Thương hiệu,DIOR,Kích thước,3.4 oz/ 100 mL,,,có,,"14,5","369097,5"
1915487,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,,"5,5","140002,5"
1915537,Thương hiệu,GUERLAIN,Kích thước,3.3 oz/ 100 mL,,,có,,16,407280
1928548,Thương hiệu,Yves Saint Laurent,Kích thước,0.34 oz/ 10 mL,,,có,,"3,5","89092,5"
1930759,Thương hiệu,Sol de Janeiro,Kích thước,8.1 oz/ 240 mL,,,có,,"3,8",96729
1942812,Thương hiệu,Dolce&Gabbana,Kích thước,3.3 oz/ 100 mL,,,có,,"14,5","369097,5"
1964840,Thương hiệu,Gucci,Kích thước,1.6 oz/ 50 mL,,,có,,"13,5","343642,5"
1976075,Thương hiệu,BURBERRY,Kích thước,3.0 oz/ 90 mL eau de parfum spray,,,có,,"16,8",427644
1976554,Thương hiệu,HERMÈS,Kích thước,2.8 oz/ 83 mL,,,có,,"15,5","394552,5"
1985779,Thương hiệu,CLEAN RESERVE,Kích thước,0.34 oz/ 10 mL,,,có,,"1,6",40728
1985779,Thương hiệu,CLEAN RESERVE,Kích thước,0.34 oz/ 10 mL,,,có,,"1,6",40728
1992627,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,,"16,5","420007,5"
2036788,Thương hiệu,CLEAN RESERVE,Kích thước,0.33 oz/ 10 mL,,,có,,"2,24","57019,2"
2037471,Thương hiệu,Chloé,Kích thước,2.5 oz/ 75 mL,,,có,,"16,2",412371
2037935,Thương hiệu,Armani Beauty,Kích thước,1.7 oz/ 50 mL,,,có,,13,330915
2038917,Thương hiệu,TOM FORD,Kích thước,0.33 oz/10 mL,,,có,,5,127275
2038933,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,16,407280
2040475,Thương hiệu,CHANEL,Kích thước,1.7 oz/ 50 mL,,,có,,"14,2",361461
2047801,Thương hiệu,The 7 Virtues,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,,"9,4",239277
2052546,Thương hiệu,Versace,Kích thước,1.7 oz/ 50 mL,,,có,,"10,5","267277,5"
2056208,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,"40,5","1030927,5"
2077980,Thương hiệu,Maison Louis Marie,Kích thước,1.7 oz/ 50 mL,,,có,,"9,3","236731,5"
2098044,Thương hiệu,DIOR,Kích thước,.7 oz / 20 mL eau de toilette rollerball,,,có,,"4,6",117093
2101293,Thương hiệu,TOM FORD,Kích thước,1.7oz/ 50mL,,,có,,"40,5","1030927,5"
2101368,Thương hiệu,TOM FORD,Kích thước,0.3 oz/ 10 mL,,,có,,"7,5","190912,5"
2160455,Thương hiệu,BURBERRY,Kích thước,1.6 oz/ 50 mL eau de parfum spray,,,có,,"13,5","343642,5"
2175727,Thương hiệu,TOM FORD,Kích thước,0.33 oz/ 10 mL,,,có,,"8,5","216367,5"
2175982,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz / 100 mL,,,có,,15,381825
2176071,Thương hiệu,Marc Jacobs Fragrances,Kích thước,3.3 oz/ 100 mL,,,có,,"13,7","348733,5"
2176196,Thương hiệu,Gucci,Kích thước,1.6 oz/ 50 mL,,,có,,"13,5","343642,5"
2176584,Thương hiệu,Ellis Brooklyn,Kích thước,0.33oz/10mL,,,có,,"1,65","42000,75"
2176626,Thương hiệu,Ellis Brooklyn,Kích thước,1.7oz/50mL,,,có,,"5,5","140002,5"
2177996,Thương hiệu,Maison Margiela,Kích thước,3.4oz/ 100mL,,,có,,"16,5","420007,5"
2196996,Thương hiệu,CLEAN RESERVE,Kích thước,1oz/30mL,,,có,,"3,08","78401,4"
2197143,Thương hiệu,CLEAN RESERVE,Kích thước,2 oz / 60 mL,,,có,,"5,18","131856,9"
2202380,Thương hiệu,Jo Malone London,Kích thước,2 x 0.3oz/9mL,,,có,,5,127275
2236214,Thương hiệu,By Rosie Jane,Kích thước,1.7 oz/ 50 mL Eau De Parfum Spray,,,có,,8,203640
2236222,Thương hiệu,By Rosie Jane,Kích thước,1.7 oz/ 50 mL,,,có,,8,203640
2236255,Thương hiệu,By Rosie Jane,Kích thước,1.7 / 50,,,có,,8,203640
2238145,Thương hiệu,CHANEL,Kích thước,3.4 oz/ 100 mL,,,có,,"17,2",437826
2249621,Thương hiệu,Lancôme,Kích thước,1.7 oz/ 50 mL,,,có,,"11,8",300369
2251205,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,30,763650
2288025,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz Eau de Parfum Spray,,,có,,"16,5","420007,5"
2316032,Thương hiệu,Yves Saint Laurent,Kích thước,3.04 oz/ 90 mL,,,có,,"14,5","369097,5"
2316099,Thương hiệu,CLEAN RESERVE,Kích thước,3.4 oz/ 100 mL,,,có,,"7,7","196003,5"
2316255,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,,"16,5","420007,5"
2316362,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz/ 100 mL,,,có,,15,381825
2317345,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL,,,có,,11,280005
2317352,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL,,,có,,11,280005
2318756,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,"40,5","1030927,5"
2319424,Thương hiệu,Armani Beauty,Kích thước,1 oz/ 30 mL,,,có,,7,178185
2320109,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 mL Eau de Parfum Spray,,,có,,"29,5","750922,5"
2320133,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 mL eau de parfum spray,,,có,,"29,5","750922,5"
2320174,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,,"29,5","750922,5"
2320240,Thương hiệu,DIOR,Kích thước,0.67 oz/ 20 mL,,,có,,"5,6",142548
2327278,Thương hiệu,TOM FORD,Kích thước,1.5 oz/ 45 mL,,,có,,4,101820
2327278,Thương hiệu,TOM FORD,Kích thước,1.5 oz/ 45 mL,,,có,,4,101820
2355451,Thương hiệu,KILIAN Paris,Kích thước,0.24 oz / 7.5 mL eau de parfum spray,,,có,,5,127275
